source,historic registered,tornado_name,tornado_year,town,overall_photos_folder,tornado_EF,tornado_start_lat,tornado_end_lat,tornado_start_long,tornado_end_long,latitude,longitude,complete_address,building_name_listing,building_name_current,archetype,located_in_historic_district,occupany_u,number_stories,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,first_floor_elevation_m,front_elevation_orientation,first_floor_ceiling_m,wall_length_side,wall_length_front,wall_thickness,roof_shape_u,roof_slope_u,construction_type_u,construction_type_u_unc,mwfrs_u_wall,mwfrs_u_roof,mwfrs_u_moment_frame,mwfrs_u_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_u,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate_u,wall_substrate_u_unc,wall_cladding_u,wall_cladding_u_unc,soffit_type_u,soffit_present_u,wall_fenesteration_per_front,wall_fenesteration_per_back,wall_fenesteration_per_right,wall_fenesteration_per_left,wall_fenestration_per_n,wall_fenestration_per_s,wall_fenestration_per_e,wall_fenestration_per_w,wall_fenestration_per_w,wall_fenesteration_protection_front,wall_fenesteration_protection_back,wall_fenesteration_protection_right,wall_fenesteration_protection_left,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,roof_system_u,roof_system_u_unc,r2wall_attachment_u,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_u,roof_cover_u_unc,overhang_length_u,parapet_height_m,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,hazards_present_u,status_u,wind_damage_rating_u,damage_indicator_u,degree_of_damage_u,wind_damage_details_u,roof_structure_damage_u,roof_structure_damage_u_per,roof_susbtrate_damage_u,roof_substrate_damage_per,foundation_failure_u,foundation_failure_per_u,wall_structure_damage_per_front,wall_structure_damage_per_back,wall_structure_damage_per_left,wall_structure_damage_per_right,wall_structure_damage_u,wall_structure_damage_n,wall_structure_damage_s,wall_structure_damage_e,wall_structure_damage_w,wall_substrate_damage_per_front,wall_substrate_damage_per_back,wall_substrate_damage_per_right,wall_substrate_damage_per_left,wall_substrate_damage_n,wall_substrate_damage_s,wall_substrate_damage_e,wall_substrate_damage_w,wall_substrate_damage_u,wall_cladding_damage_per_front,wall_cladding_damage_per_back,wall_cladding_damage_per_right,wall_cladding_damage_per_left,wall_cladding_damage_n,wall_cladding_damage_s,wall_cladding_damage_e,wall_cladding_damage_w,damaged_fenesteration_per_front,damaged_fenesteration_per_back,damaged_fenesteration_per_right,damaged_fenesteration_per_left,wall_fenestration_damage_per_n,wall_fenestration_damage_per_s,wall_fenestration_damage_per_e,wall_fenestration_damage_per_w,soffit_damage_per_u,fascia_damage_per_u,piles_damage_u,foundation_damage_cause_u,foundation_damage_u,foundation_damage_u_per,risk_category_16,building_low_rise,national_register_listing_year,existed_during_tornado,buidling_use_before_tornado,buidling_use_after_tornado,buidling_use_plan_after_tornado,demolishing_year,single_unit,multiple_unit,world_heritage_property,hague_convention,sub_national_heritage _list,iucn_protected_area,property_of_local_significance,const_material_h_stone,const_material_h_brick,const_material_h_wood,const_material_h_mud,const_material_h_rf_masonry,const_material_h_rglr_stone,const_material_h_rf_conc,const_material_h_ir_stone,const_material_h_othr,const_material_v_stone,const_material_v_brick,const_material_v_wood,const_material_v_mud,const_material_v_rf_masonry,const_material_v_rglr_stone,const_material_v_rf_conc,const_material_v_ir_stone,const_material_v_othr,prop_agricultural ,prop_cave,prop_culture _entertainment_facility,prop_forest,prop_industrial_facility,prop_lake,prop_military,prop_nature,prop_religious,prop_rock formation,prop_sports_facility,prop_unilities_facility,prop_archaeological,prop_commemorative structure or landmark,prop_ecosystem,prop_habitat,prop_infrastructure,prop_law / government facility,prop_mine,prop_park / garden,prop_residential facility,prop_scenic area,prop_transportation facility,prop_volcano,prop_battlefield,prop_commercial / exchange facility,prop_educational facility,prop_health / welfare facility,prop_island(s),prop_marine zone,prop_mountain,parking / storage facility,river catchment system,sea,underground facility,zoological park,prop_val_evidential,prop_val_historical,prop_val_aesthetic,prop_val_communal,owner_individual,owner_business,owner_government,owner_ngo,owner_religious ,owner_unknown,buidling_existed_5_yrs_before_tornado,buidling_existed_3_yrs_before_tornado,buidling_existed_1_yrs_before_tornado,building_existed_during_tornado,building_in_use_during_tornado,building_use_during_tornado,damage_status,building_demolished_1_yrs_after_tornado,building_demolished_3_yrs_after_tornado,building_demolished_5_yrs_after_tornado,notes
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,908 Monroe St TN 37208 US,2,36.1717,36.1525,-86.9526,-85.8904,36.1748559,-86.79533014,908 Monroe St Nashville TN 37208 US,Third Baptist Church,Hopewell Missionary Baptist Church,13,no,religious,1,1902,359.25,isolated,right_on_street,8,0.5,s,5,21,32,0.2,hip,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,3,masonry_block_unreinforced,stone,3,un,1,not_applicable,3,brick,3,wood,yes,40,40,40,40,40,40,40,40,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,dimensional_lumber,1,asphalt,3,0.2,0,2021,yes,structural_restoration,3,wind,severe,3,3,3,"parts of structure destroyed, all fenestration destroyed",3,40,3,20,0,0,20,10,10,50,3,0,50,20,20,20,0,50,20,0,20,50,20,1,5,30,50,7,30,5,50,7,80,50,70,50,50,70,50,80,80,80,not_applicable,not_applicable,0,0,2,yes,1979,yes,religious,religious,religious,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,exceptional,exceptional,exceptional,exceptional,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,severe,no,no,no,"Used T13 becuase it is a church. Available imagery captured one side of the building, which is covered with a tarp. We infer that the wall on that side has collapsed."
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,1221 7th Ave N Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.17526547,-86.79147823,1221 7th Ave N Nashville TN 37208 US,Church of the Assumption,,19,no,religious,2,1874,251.94,isolated,right_on_street,6.1,0.5,e,3,28.5,10.6,0.2,hip,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,3,masonry_block_unreinforced,stone,2,un,1,not_applicable,3,brick,3,un,yes,35,20,20,20,20,20,35,20,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,dimensional_lumber,1,corrugated_steel,3,0.4,0,,no,not_applicable,3,wind,minor,1,1,1,half of windows destroyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,15,0,15,0,0,90,0,0,not_applicable,not_applicable,0,0,2,yes,1977,yes,religious,religious,religious,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,considerable,considerable,some,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,minor,no,no,no,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,1225 7th Ave N Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.1754,-86.791622,1225 7th Ave N Nashville TN 37208 US,Church of the Assumption,,13,no,religious,2,1874,669.14,isolated,right_on_street,13.7,0.5,e,4,40,19,0.2,gable,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,3,masonry_block_unreinforced,unr_masonry_stem_wall,3,un,1,not_applicable,3,brick,3,wood,yes,35,0,35,35,25,35,35,0,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,dimensional_lumber,1,corrugated_steel,3,0.2,0,"1970, 2024",yes,structural_restoration,3,wind,moderate,2,2,2," roof, west wall, and north wall damage at peaks of wall near roof",1,0,0,0,0,0,0,15,5,10,2,0,5,0,15,0,20,0,0,0,0,0,1,1,0,15,0,5,0,1,0,2,0,0,90,100,90,100,0,0,15,15,not_applicable,not_applicable,0,0,2,yes,1977,yes,religious,religious,religious,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,considerable,considerable,exceptional,considerable,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,moderate,no,no,no,Damage is shown in the images. A whole structural restoration was necessary after the tornado as well as a reinstallation of windows and the steeple as well as interior renovations. 
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,1227 7th Ave N Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.17554921,-86.79163355,1227 7th Ave N Nashville TN 37208 US,Church of the Assumption,,19,no,religious,2,1874,204.71,isolated,right_on_street,6.1,0.5,e,3,24,9.5,0.2,gable,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,3,masonry_block_unreinforced,un,2,un,1,not_applicable,3,brick,3,un,yes,30,0,15,15,15,15,30,0,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,dimensional_lumber,2,corrugated_steel,3,0.3,0,,no,not_applicable,3,wind,minor,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,not_applicable,not_applicable,0,0,2,yes,1977,yes,religious,reigious,religious,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,considerable,considerable,some,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,minor,no,no,no,
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,311 Jefferson St Nashville TN 37208 US-Neighbors of Germantown,1,36.1717,36.1525,-86.9526,-85.8904,36.1746424,-86.78551669,311 Jefferson St Nashville TN 37208 US,"Geist, John, and Sons, Blacksmith Shop and House (shop)",Geist Bar + Restaurant,6,no,business,1,1900,100,isolated,right_on_street,5,0.5,n,3,15.7,6.7,0.24,flat,0,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,2,masonry_block_unreinforced,un,1,un,1,not_applicable,3,brick,3,not_applicable,no,25,10,0,20,25,10,20,0,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,dimensional_lumber,1,corrugated_steel,3,0,0.3,,un,not_applicable,3,"wind, wind-borne debris",severe,3,3,1,wall structure damage on north (front) wall,1,10,0,0,0,0,90,0,0,0,2,90,0,0,0,0,0,0,0,90,0,0,0,4,90,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,1980,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,considerable,considerable,considerable,considerable,0,1,0,0,0,0,yes,yes,yes,yes,yes,business,minor,no,no,no,This is the shop listed in John Geist national resigter
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,311 Jefferson St Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.17462237,-86.78557503,311 Jefferson St Nashville TN 37208 US,"Geist, John, and Sons, Blacksmith Shop and House (first residence)",Geist Bar + Restaurant,6,no,business,1,1891,54,isolated,right_on_street,5,0.5,n,3,4.9,10.5,0.24,gable,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,3,masonry_block_unreinforced,un,1,un,1,not_applicable,3,brick,3,vinyl,yes,20,35,15,15,20,35,15,15,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,dimensional_lumber,1,corrugated_steel,3,0.4,0,un,un,not_applicable,3,"wind, wind-borne debris",severe,3,3,2,wall structure damage on north (front) wall,0,0,1,10,0,0,90,0,0,0,2,90,0,0,0,10,0,0,0,90,0,0,0,4,90,0,0,0,90,0,0,0,100,0,0,0,100,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,1980,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,considerable,considerable,considerable,considerable,0,1,0,0,0,0,yes,yes,yes,yes,yes,business,moderate,no,no,no,"This is the first residence listed in John Geist national resigter, it shares the samed wall with the shop"
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,419 Woodland St Nashville TN 37208 US,0,36.1717,36.1525,-86.9526,-85.8904,36.17203908,-86.76555424,419 Woodland St Nashville TN 37208 US,St. Ann's Episcopal Church,,13,no,religious,1.5,1882,566.15,isolated,recessed,10.5,0.5,s,5,20,29.18,0.2,complex,45,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,1,masonry_block_unreinforced,stone,3,un,1,not_applicable,3,brick,3,un,yes,15,10,10,20,10,15,10,20,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,un,1,asbestos_shingles,3,0.33,0,1902,yes,building_addition,3,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,1983,yes,religious,religious,religious,not_applicable,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,limited,considerable,considerable,exceptional,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,undamaged,no,no,no,I used T13 because it is a church.
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,601 Main St Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.17413441,-86.76278247,601 Main St Nashville TN 37208 US,First Baptist Church East Nashville,,13,no,religious,3,1928,713,isolated,right_on_street,10.5,1.5,s,3,32.7,35.4,0.2,gable,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,1,masonry_block_unreinforced,stone,3,un,1,not_applicable,3,brick,3,wood,yes,40,35,35,35,35,40,35,35,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,2,un,dimensional_lumber,2,asphalt,3,0.15,0,2010,yes,building_addition,3,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,3,yes,2005,yes,religious,religious,religious,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some,considerable,considerable,exceptional,0,0,0,0,1,0,yes,yes,yes,yes,yes,religious,undamaged,no,no,no,
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,631 Woodland St Nashville TN 37208 US,1,36.1717,36.1525,-86.9526,-85.8904,36.17363637,-86.76062701,631 Woodland St Nashville TN 37208 US,Miles House,Miller Law Offices,19,no,business,2,1860,228,isolated,right_on_street,7.5,1.6,s,3.5,30,30,0.2,complex,45,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,2,masonry_block_unreinforced,stone,3,un,1,not_applicable,3,brick,3,wood,yes,30,30,15,15,30,30,15,15,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_rafters,2,un,un,3,asphalt,3,0.3,0,1918,yes,unknown,3,wind,undamaged,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,not_applicable,0,0,2,yes,1979,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,limited,considerable,considerable,no value,0,1,0,0,0,0,yes,yes,yes,yes,yes,business,undamaged,no,no,no,
NRHP,yes,"March 3, 2020 Tornado Outbreak",2020,Nashville,1600 Holly St Nashville TN 37206 US,2,36.1717,36.1525,-86.9526,-85.8904,36.17529175,-86.7419925,1600 Holly St Nashville TN 37206 US,Holly Street Fire Hall,,11,no,institutional,2,1914,421,isolated,right_on_street,8.2,1,n,3,37.6,12.6,0.2,complex,30,masonry_un,3,wall_diaphragm_masonry,roof_diaphragm_wood,no,3,double_leaf,1,masonry_block_unreinforced,masonry_un,1,un,1,not_applicable,3,brick,3,wood,yes,35,20,50,35,35,20,35,50,,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,no,no,yes,no,no,no,wooden_un,2,un,dimensional_lumber,2,asphalt,3,0.5,0,"2,008",yes,building_addition,3,"wind, wind-borne debris",moderate,3,3,3,"roof damage (destroyed), window damage",2,30,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,20,30,not_applicable,not_applicable,0,0,2,yes,1982,yes,business,business,business,not_applicable,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,limited,considerable,considerable,exceptional,0,0,1,0,0,0,yes,yes,yes,yes,yes,institutional,moderate,no,no,no,"There are three differrent types of roofs including: overlaid hip, cross hipped, and flat. There have been 3 additions/rennovations since orignial construction. A hipped-roof addition was built onto the back of the fire hall in 1938. Then in 1980 there was an addition connecting the front building to the back building merging them into one unit. Finally, a rennovation and restructure of the roof was completed in 2021 following the damage of the 2020 tornado. "
